"id","code","name","definition"
hc_base.subs_code_5910002,"5910002","Oncogene protein PP60, V-SRC","Oncogene protein LYL1 (substance)"
hc_base.subs_code_36461002,"36461002","Oncogene protein TAL","Oncogene protein mas (substance)"
hc_base.subs_code_2085008,"2085008","Oncogene protein TCL","Oncogene protein met (substance)"
hc_base.subs_code_21541003,"21541003","Oncogene protein TCRD","Oncogene protein N-MYC (substance)"
hc_base.subs_code_44954009,"44954009","Oncogene protein TCRG","Oncogene protein N-RAS (substance)"
hc_base.subs_code_4925006,"4925006","Oncogene protein V-ABC","Oncogene protein neu (substance)"
hc_base.subs_code_30192000,"30192000","Oncogene protein V-FMS","Oncogene protein P190, BCR-ABL (substance)"
hc_base.subs_code_66235009,"66235009","Oncogene protein bcl-1","Oncogene protein P21, RAS (substance)"
hc_base.subs_code_112215008,"112215008","Oncogene protein bcl-2","Oncogene protein P210, BCR-ABL (substance)"
hc_base.subs_code_20515003,"20515003","Oncogene protein c-ets","Oncogene protein P53 (substance)"
hc_base.subs_code_37462001,"37462001","Oncogene protein c-fes","Oncogene protein P55, V-MYC (substance)"
hc_base.subs_code_60047004,"60047004","Oncogene protein c-fms","Oncogene protein PP60, V-SRC (substance)"
hc_base.subs_code_44370001,"44370001","Oncogene protein c-fos","Oncogene protein sis (substance)"
hc_base.subs_code_43936003,"43936003","Oncogene protein fins","Oncogene protein TAL (substance)"
hc_base.subs_code_87167004,"87167004","Oncogene protein int-2","Oncogene protein TCL (substance)"
hc_base.subs_code_85997007,"85997007","Oncogene protein mas","Oncogene protein TCRD (substance)"
hc_base.subs_code_89064001,"89064001","Oncogene protein met","Oncogene protein TCRG (substance)"
hc_base.subs_code_10862004,"10862004","Oncogene protein neu","Oncogene protein trk (substance)"
hc_base.subs_code_33034000,"33034000","Oncogene protein sis","Oncogene protein V-ABC (substance)"
hc_base.subs_code_50912007,"50912007","Oncogene protein trk","Oncogene protein V-FMS (substance)"
hc_base.subs_code_405841006,"405841006","Proto-oncogene tyrosine-protein kinase receptor RET","Proto-oncogene tyrosine-protein kinase receptor RET (substance)"
hc_base.subs_code_32668001,"32668001","Viral oncogene protein","Viral oncogene protein (substance)"
hc_base.subs_code_259626008,"259626008","Placental isoferritin","Placental isoferritin (substance)"
hc_base.subs_code_259628009,"259628009","Placental protein 1","Placental protein 1 (substance)"
hc_base.subs_code_259629001,"259629001","Placental protein 2","Placental protein 2 (substance)"
hc_base.subs_code_259630006,"259630006","Placental protein 3","Placental protein 3 (substance)"
hc_base.subs_code_259631005,"259631005","Placental protein 4","Placental protein 4 (substance)"
hc_base.subs_code_259632003,"259632003","Placental protein 5","Placental protein 5 (substance)"
hc_base.subs_code_259633008,"259633008","Placental protein 6","Placental protein 6 (substance)"
hc_base.subs_code_259634002,"259634002","Placental protein 7","Placental protein 7 (substance)"
hc_base.subs_code_91309004,"91309004","Acute phase reactant","Acute phase reactant (substance)"
hc_base.subs_code_52454007,"52454007","Albumin","Albumin (substance)"
hc_base.subs_code_34086003,"34086003","Antithrombin III","Antithrombin III (substance)"
hc_base.subs_code_116181003,"116181003","Coagulation protein","Coagulation protein (substance)"
hc_base.subs_code_112133008,"112133008","Immunoglobulin","Immunoglobulin (substance)"
